year,ine_code,name,value
2008,35,"Palmas, Las",1070032.0
2008,36,Pontevedra,953400.0
2008,26,"Rioja, La",317501.0
2008,37,Salamanca,353404.0
2008,38,Santa Cruz de Tenerife,1005936.0
2008,40,Segovia,163899.0
2008,41,Sevilla,1875462.0
2008,42,Soria,94646.0
2008,43,Tarragona,788895.0
2008,44,Teruel,146324.0
2008,45,Toledo,670203.0
2008,46,Valencia/València,2543209.0
2008,47,Valladolid,529019.0
2008,49,Zamora,197221.0
2008,50,Zaragoza,955323.0
2008,51,Ceuta,77389.0
2008,52,Melilla,71448.0
2007,2,Albacete,392110.0
2007,3,Alicante/Alacant,1825264.0
2007,4,Almería,646633.0
2007,1,Araba/Álava,305459.0
2007,33,Asturias,1074862.0
2007,5,Ávila,168638.0
2007,6,Badajoz,678459.0
2007,7,"Balears, Illes",1030650.0
2007,8,Barcelona,5332513.0
2007,48,Bizkaia,1141457.0
2007,9,Burgos,365972.0
2007,10,Cáceres,411531.0
2007,11,Cádiz,1207343.0
2007,39,Cantabria,572824.0
2007,12,Castellón/Castelló,573282.0
2007,13,Ciudad Real,510122.0
2007,14,Córdoba,792182.0
2007,15,"Coruña, A",1132792.0
2007,16,Cuenca,211375.0
2007,20,Gipuzkoa,694944.0
2007,17,Girona,706185.0
2007,18,Granada,884099.0
2007,19,Guadalajara,224076.0
2007,21,Huelva,497671.0
2007,22,Huesca,220107.0
2007,23,Jaén,664742.0
2007,24,León,497387.0
2007,25,Lleida,414015.0
2007,27,Lugo,355176.0
2007,28,Madrid,6081689.0
2007,29,Málaga,1517523.0
2007,30,Murcia,1392117.0
2007,31,Navarra,605876.0
2007,32,Ourense,336926.0
2007,34,Palencia,173281.0
2007,35,"Palmas, Las",1042131.0
2007,36,Pontevedra,947639.0
2007,26,"Rioja, La",308968.0
2007,37,Salamanca,351326.0
2007,38,Santa Cruz de Tenerife,983820.0
2007,40,Segovia,159322.0
2007,41,Sevilla,1849268.0
2007,42,Soria,93593.0
2007,43,Tarragona,757795.0
2007,44,Teruel,144046.0
2007,45,Toledo,639621.0
2007,46,Valencia/València,2486483.0
2007,47,Valladolid,521661.0
2007,49,Zamora,197237.0
2007,50,Zaragoza,932502.0
